type, mileage, year_of_publication, lifespan, VIN, num_of_wheels, hitch, can_transport
PERSONAL, 1912, 2012, 20, 7G52SEAAJC, 8, true, true
PERSONAL, 4886, 2008, 10, SOH265T4SD, 4, true, true
PERSONAL, 8704, 2007, 13, J7VLWE7SU6, 8, false, false
TRUCK, 9393, 2002, 15, 0NQ5J13944, 4, true, true
PERSONAL, 6294, 1997, 12, VVPV2MQ6I1, 8, true, true
TRUCK, 2448, 2010, 15, 0HILD23HKM, 8, false, false
PERSONAL, 5506, 2013, 6, 5WHMGVIGLV, 4, true, true
PERSONAL, 1052, 2007, 10, UZ36FJEC8U, 8, true, true
PERSONAL, 2187, 2014, 5, OZY1FEC4MS, 8, false, false
TRUCK, 1296, 1995, 25, HAAVP45ROP, 4, true, true
TRUCK, 8605, 1995, 22, 1KS1J742IC, 4, false, true
PERSONAL, 2727, 1996, 8, QP00DF3389, 4, true, true
TRUCK, 8659, 2010, 8, 8F0KOU1PR2, 8, false, false
PERSONAL, 7016, 2005, 12, 9PC7J6Q8C6, 4, true, false
PERSONAL, 2057, 1996, 12, LLVSJB0BI6, 4, false, false
TRUCK, 7500, 2002, 5, YXQKIWTUQM, 8, false, true
TRUCK, 8394, 1997, 13, 8MMF4RDV87, 8, true, false
PERSONAL, 7180, 2002, 25, PDW3WSLZS9, 4, true, true
TRUCK, 9068, 1998, 16, 9NFUDOHNIC, 4, true, false
PERSONAL, 3893, 2003, 24, WA0DEXE2GF, 8, false, false
